,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
361,mujiayingzi,42.12,118.78,62.92,84,93,7.47,CN,1593809991
362,fallon,39.47,-118.78,88.0,16,1,6.93,US,1593809991
363,novyy urengoy,66.08,76.63,58.89,95,100,14.88,RU,1593809991
364,lavrentiya,65.58,-171.0,50.58,64,25,6.17,RU,1593809991
365,berlevag,70.86,29.09,48.2,81,88,10.29,NO,1593809992
366,esperance,-33.87,121.9,46.4,100,26,10.29,AU,1593809992
367,cristalina,-16.77,-47.61,68.32,57,76,3.22,BR,1593809992
368,japura,-0.32,102.35,73.96,98,100,2.55,ID,1593809992
369,basoko,1.24,23.62,76.62,77,96,0.45,CD,1593809992
370,alugan,12.22,125.48,78.66,85,87,3.76,PH,1593809993
371,ilulissat,69.22,-51.1,51.8,53,0,4.7,GL,1593809993
372,korla,41.76,86.15,78.94,25,82,18.97,CN,1593809993
373,manbij,36.53,37.95,84.2,32,0,3.36,SY,1593809993
374,gat,31.61,34.76,80.01,72,0,1.5,IL,1593809993
375,canarana,-11.68,-41.77,74.16,52,100,6.64,BR,1593809994
376,sabzevar,36.21,57.68,71.01,21,0,11.18,IR,1593809994
377,arlit,18.74,7.39,94.21,9,14,14.92,NE,1593809994
378,rio grande,-32.03,-52.1,57.2,50,0,4.7,BR,1593809994
379,panguipulli,-39.63,-72.33,51.8,81,75,13.87,CL,1593809994
380,trofors,65.53,13.41,51.8,62,20,4.7,NO,1593809995
381,itarema,-2.92,-39.92,78.94,80,26,12.19,BR,1593809995
382,kelvington,52.17,-103.53,74.55,56,0,8.16,CA,1593809995
